ADDR|INFO|BYTES|COMMENTS
0x00000|VRAM bank 0 or 1|16,384|32kB Video RAM (see below)
0x04000|Tiles|8,192|256 8x8 4-bit bg tiles - #0 to #255
0x06000|Sprites|8,192|256 8x8 4-bit fg sprites - #256 to #511
0x08000|Map|32,640|240x136 map - indexed by tile/sprite
0x0FF80|Gamepads|4|button state for 4 gamepads
0x0FF84|Mouse|4|mouse state X / Y / buttons / scroll
0x0FF88|Keyboard|4|keyboard state, up to 4 pressed buttons
0x0FF8C|SFX State|16|...
0x0FF9C|Sound Registers|72|...
0x0FFE4|Waveforms|256|16 waveforms, each 32 x 4-bit values
0x100E4|SFX|4,224|...
0x11164|Music Patterns|11,520|...
0x13E64|Music Tracks|408|...
0x13FFC|Sound State|4|...
0x14000|Stereo Volume|4|...
0x14004|Persistent Memory|1,024|persistent RAM, per cartridge
0x14404|Sprite Flags|512|...
0x14604|System Font|2,048|256 8x8 1-bit font (used by print)
0x14E04|RESERVED|12,796|...
